id,gid,x,y,v_x,v_y,radius,time
0,0,10.157354,0.356652,-0.174912,0.030961,0.200000,0.050000
1,0,12.538987,0.591295,-0.188266,-0.004649,0.200000,0.050000
2,0,7.325200,-0.129108,0.063202,-0.142541,0.200000,0.050000
3,0,6.796309,-0.865378,-0.164627,-0.500000,0.200000,0.050000
4,0,8.832203,0.706391,-0.056938,0.127589,0.200000,0.050000
5,0,5.248660,0.514317,0.500000,-0.405726,0.200000,0.050000
6,0,13.693761,-1.055827,-0.034789,-0.119946,0.200000,0.050000
7,0,10.855748,-0.171476,-0.085045,-0.032612,0.200000,0.050000
8,0,13.301652,-0.530889,-0.224950,0.131049,0.200000,0.050000
9,0,8.015337,-0.225987,-0.284266,-0.107253,0.200000,0.050000
10,0,6.888300,0.237009,0.500000,0.349423,0.200000,0.050000
11,0,14.755307,-0.690717,-0.111867,0.010621,0.200000,0.050000
12,0,13.389349,0.570504,-0.411024,-0.500000,0.200000,0.050000
13,0,8.527515,0.137195,0.024291,0.108188,0.200000,0.050000
14,0,6.807592,-0.389901,-0.094965,0.500000,0.200000,0.050000
15,0,13.619664,1.045840,0.151287,0.500000,0.200000,0.050000
16,0,6.420660,0.032367,-0.500000,-0.352396,0.200000,0.050000
17,0,6.772084,0.889163,-0.146713,0.125330,0.200000,0.050000
18,0,9.491013,-0.438537,-0.148339,-0.017923,0.200000,0.050000
19,0,7.342874,-0.838917,0.211686,0.009467,0.200000,0.050000
20,1,7.299062,7.707407,-0.020164,-0.119068,0.200000,0.050000
21,1,8.365670,-4.201332,-0.008605,-0.123634,0.200000,0.050000
22,1,7.111301,2.329030,-0.005777,-0.140392,0.200000,0.050000
23,1,9.086699,-3.083294,-0.032625,-0.132087,0.200000,0.050000
24,1,5.311032,5.482947,0.017849,-0.140457,0.200000,0.050000
25,1,8.411490,-2.035199,-0.027607,-0.120379,0.200000,0.050000
26,1,6.821858,6.561374,-0.002249,-0.138725,0.200000,0.050000
27,1,5.172968,1.223922,0.118964,0.013836,0.200000,0.050000
28,1,4.810004,3.016946,0.009072,-0.116487,0.200000,0.050000
29,1,4.787470,0.722632,-0.500000,0.271568,0.200000,0.050000
30,1,7.601531,3.439824,-0.031970,-0.141316,0.200000,0.050000
31,1,7.274435,-4.351588,-0.027508,-0.132755,0.200000,0.050000
32,1,5.645853,2.234066,0.022452,-0.111881,0.200000,0.050000
33,1,7.976853,5.357657,-0.009331,-0.129060,0.200000,0.050000
34,1,4.927736,6.630411,0.012324,-0.117779,0.200000,0.050000
35,1,9.191327,3.777271,0.139942,-0.148180,0.200000,0.050000
36,1,6.196857,4.201830,0.007340,-0.129793,0.200000,0.050000
37,1,8.543982,3.857159,-0.174758,-0.109410,0.200000,0.050000
38,1,9.140213,4.628502,-0.021945,-0.067170,0.200000,0.050000
39,1,6.798816,8.862376,-0.001877,-0.122474,0.200000,0.050000
0,0,10.144542,0.357864,-0.256252,0.024240,0.200000,0.100000
1,0,12.522809,0.592209,-0.323561,0.018293,0.200000,0.100000
2,0,7.303360,-0.132299,-0.436798,-0.063828,0.200000,0.100000
3,0,6.782418,-0.887402,-0.277816,-0.440489,0.200000,0.100000
4,0,8.826003,0.719761,-0.123999,0.267393,0.200000,0.100000
5,0,5.256633,0.505677,0.159454,-0.172786,0.200000,0.100000
6,0,13.685156,-1.061469,-0.172097,-0.112826,0.200000,0.100000
7,0,10.845421,-0.172873,-0.206533,-0.027945,0.200000,0.100000
8,0,13.286540,-0.536929,-0.302242,-0.120804,0.200000,0.100000
9,0,8.016412,-0.233855,0.021513,-0.157368,0.200000,0.100000
10,0,6.900674,0.252528,0.247487,0.310376,0.200000,0.100000
11,0,14.744326,-0.689402,-0.219608,0.026306,0.200000,0.100000
12,0,13.362848,0.559928,-0.530018,-0.211514,0.200000,0.100000
13,0,8.519254,0.134038,-0.165207,-0.063143,0.200000,0.100000
14,0,6.797731,-0.372696,-0.197206,0.344092,0.200000,0.100000
15,0,13.619983,1.067975,0.006363,0.442710,0.200000,0.100000
16,0,6.399696,0.006547,-0.419290,-0.516408,0.200000,0.100000
17,0,6.758091,0.899824,-0.279864,0.213204,0.200000,0.100000
18,0,9.479174,-0.438728,-0.236786,-0.003811,0.200000,0.100000
19,0,7.340608,-0.848979,-0.045324,-0.201241,0.200000,0.100000
20,1,7.297159,7.695137,-0.038066,-0.245401,0.200000,0.100000
21,1,8.364490,-4.213111,-0.023591,-0.235582,0.200000,0.100000
22,1,7.111958,2.317612,0.013142,-0.228362,0.200000,0.100000
23,1,9.083578,-3.095069,-0.062422,-0.235493,0.200000,0.100000
24,1,5.312611,5.469948,0.031577,-0.259981,0.200000,0.100000
25,1,8.408937,-2.046720,-0.051049,-0.230424,0.200000,0.100000
26,1,6.821738,6.548356,-0.002396,-0.260347,0.200000,0.100000
27,1,5.178099,1.214680,0.102626,-0.184830,0.200000,0.100000
28,1,4.810930,3.005777,0.018533,-0.223381,0.200000,0.100000
29,1,4.766284,0.728487,-0.423729,0.117093,0.200000,0.100000
30,1,7.596909,3.424823,-0.092442,-0.300018,0.200000,0.100000
31,1,7.272184,-4.364165,-0.045021,-0.251552,0.200000,0.100000
32,1,5.648844,2.226019,0.059836,-0.160933,0.200000,0.100000
33,1,7.975485,5.345593,-0.027375,-0.241279,0.200000,0.100000
34,1,4.929024,6.618878,0.025750,-0.230667,0.200000,0.100000
35,1,9.196673,3.764321,0.106922,-0.259000,0.200000,0.100000
36,1,6.197554,4.189500,0.013946,-0.246606,0.200000,0.100000
37,1,8.538291,3.847924,-0.113822,-0.184707,0.200000,0.100000
38,1,9.138820,4.618817,-0.027845,-0.193695,0.200000,0.100000
39,1,6.798606,8.850887,-0.004195,-0.229781,0.200000,0.100000
0,0,10.127187,0.359804,-0.347098,0.038793,0.200000,0.150000
1,0,12.495612,0.596377,-0.543930,0.083347,0.200000,0.150000
2,0,7.306520,-0.123494,0.063202,0.176110,0.200000,0.150000
3,0,6.764427,-0.907478,-0.359826,-0.401519,0.200000,0.150000
4,0,8.815787,0.732179,-0.204328,0.248362,0.200000,0.150000
5,0,5.258621,0.492177,0.039764,-0.270011,0.200000,0.150000
6,0,13.673259,-1.067865,-0.237925,-0.127927,0.200000,0.150000
7,0,10.830290,-0.174602,-0.302624,-0.034574,0.200000,0.150000
8,0,13.264105,-0.540486,-0.448714,-0.071151,0.200000,0.150000
9,0,8.003139,-0.250739,-0.265460,-0.337680,0.200000,0.150000
10,0,6.906414,0.263754,0.114788,0.224525,0.200000,0.150000
11,0,14.728101,-0.687808,-0.324510,0.031869,0.200000,0.150000
12,0,13.338640,0.546648,-0.484156,-0.265600,0.200000,0.150000
13,0,8.513062,0.141052,-0.123838,0.140267,0.200000,0.150000
14,0,6.762871,-0.368615,-0.697206,0.081630,0.200000,0.150000
15,0,13.613780,1.087525,-0.124060,0.390995,0.200000,0.150000
16,0,6.373335,-0.015953,-0.527202,-0.449999,0.200000,0.150000
17,0,6.741502,0.905629,-0.331778,0.116111,0.200000,0.150000
18,0,9.464796,-0.438197,-0.287563,0.010617,0.200000,0.150000
19,0,7.331748,-0.857869,-0.177210,-0.177810,0.200000,0.150000
20,1,7.294366,7.678120,-0.055848,-0.340333,0.200000,0.150000
21,1,8.362563,-4.229924,-0.038548,-0.336272,0.200000,0.150000
22,1,7.111390,2.303439,-0.011374,-0.283465,0.200000,0.150000
23,1,9.079132,-3.112301,-0.088912,-0.344630,0.200000,0.150000
24,1,5.314775,5.451669,0.043272,-0.365585,0.200000,0.150000
25,1,8.405265,-2.063078,-0.073443,-0.327160,0.200000,0.150000
26,1,6.821589,6.529725,-0.002980,-0.372633,0.200000,0.150000
27,1,5.182455,1.205352,0.087111,-0.186563,0.200000,0.150000
28,1,4.811910,2.989922,0.019593,-0.317086,0.200000,0.150000
29,1,4.748541,0.727393,-0.354858,-0.021887,0.200000,0.150000
30,1,7.592925,3.406936,-0.079691,-0.357756,0.200000,0.150000
31,1,7.269218,-4.382092,-0.059309,-0.358528,0.200000,0.150000
32,1,5.649765,2.215609,0.018413,-0.208200,0.200000,0.150000
33,1,7.973783,5.328629,-0.034029,-0.339278,0.200000,0.150000
34,1,4.930948,6.602166,0.038494,-0.334233,0.200000,0.150000
35,1,9.200499,3.746184,0.076517,-0.362750,0.200000,0.150000
36,1,6.198470,4.172003,0.018321,-0.349942,0.200000,0.150000
37,1,8.531944,3.832756,-0.126945,-0.303361,0.200000,0.150000
38,1,9.137134,4.604065,-0.033727,-0.295036,0.200000,0.150000
39,1,6.798387,8.834397,-0.004386,-0.329815,0.200000,0.150000
0,0,10.106912,0.361256,-0.405498,0.029056,0.200000,0.200000
1,0,12.464771,0.599620,-0.616816,0.064859,0.200000,0.200000
2,0,7.311538,-0.125760,0.100359,-0.045311,0.200000,0.200000
3,0,6.741820,-0.925083,-0.452138,-0.352089,0.200000,0.200000
4,0,8.800589,0.746196,-0.303948,0.280326,0.200000,0.200000
5,0,5.248326,0.483886,-0.205892,-0.165817,0.200000,0.200000
6,0,13.655868,-1.073561,-0.347823,-0.113916,0.200000,0.200000
7,0,10.810585,-0.176474,-0.394107,-0.037454,0.200000,0.200000
8,0,13.237336,-0.548170,-0.535382,-0.153666,0.200000,0.200000
9,0,7.990115,-0.261987,-0.260488,-0.224957,0.200000,0.200000
10,0,6.896407,0.283970,-0.200130,0.404308,0.200000,0.200000
11,0,14.707197,-0.685837,-0.418078,0.039416,0.200000,0.200000
12,0,13.310436,0.539176,-0.564086,-0.149438,0.200000,0.200000
13,0,8.504245,0.148054,-0.176350,0.140049,0.200000,0.200000
14,0,6.753011,-0.389533,-0.197206,-0.418370,0.200000,0.200000
