id,gid,x,y,v_x,v_y,radius,time
0,0,7.993437,0.000002,-0.131269,0.000043,0.500000,0.050000
1,1,5.652748,5.652748,-0.082035,-0.082036,0.500000,0.050000
2,2,0.000002,7.993178,0.000038,-0.136443,0.500000,0.050000
3,3,-5.652172,5.652173,0.093562,-0.093541,0.500000,0.050000
4,4,-7.994094,0.000001,0.118123,0.000027,0.500000,0.050000
5,5,-5.652080,-5.652093,0.095396,0.095333,0.500000,0.050000
6,6,0.000000,-7.993084,0.000001,0.138326,0.500000,0.050000
7,7,5.652674,-5.652660,-0.083721,0.083795,0.500000,0.050000
0,0,7.980966,0.000007,-0.249407,0.000093,0.500000,0.100000
1,1,5.644955,5.644955,-0.155855,-0.155872,0.500000,0.100000
2,2,0.000006,7.980216,0.000086,-0.259236,0.500000,0.100000
3,3,-5.643284,5.643286,0.177755,-0.177733,0.500000,0.100000
4,4,-7.982872,0.000004,0.224428,0.000064,0.500000,0.100000
5,5,-5.643018,-5.643036,0.181239,0.181139,0.500000,0.100000
6,6,0.000001,-7.979943,0.000014,0.262814,0.500000,0.100000
7,7,5.644721,-5.644700,-0.159058,0.159215,0.500000,0.100000
0,0,7.963180,0.000015,-0.355720,0.000172,0.500000,0.150000
1,1,5.633843,5.633838,-0.222258,-0.222334,0.500000,0.150000
2,2,0.000014,7.961729,0.000168,-0.369735,0.500000,0.150000
3,3,-5.630610,5.630610,0.253489,-0.253520,0.500000,0.150000
4,4,-7.966868,0.000010,0.320085,0.000128,0.500000,0.150000
5,5,-5.630095,-5.630117,0.258456,0.258379,0.500000,0.150000
6,6,0.000004,-7.961201,0.000068,0.374837,0.500000,0.150000
7,7,5.633380,-5.633344,-0.226824,0.227102,0.500000,0.150000
0,0,7.940611,0.000030,-0.451388,0.000300,0.500000,0.200000
1,1,5.619745,5.619730,-0.281961,-0.282160,0.500000,0.200000
2,2,0.000030,7.938271,0.000307,-0.469160,0.500000,0.200000
3,3,-5.614530,5.614523,0.321584,-0.321753,0.500000,0.200000
4,4,-7.946561,0.000022,0.406143,0.000237,0.500000,0.200000
5,5,-5.613701,-5.613721,0.327884,0.327921,0.500000,0.200000
6,6,0.000013,-7.937420,0.000184,0.475633,0.500000,0.200000
7,7,5.618992,-5.618934,-0.287753,0.288212,0.500000,0.200000
0,0,7.913737,0.000055,-0.537472,0.000489,0.500000,0.250000
1,1,5.602964,5.602929,-0.335618,-0.336012,0.500000,0.250000
2,2,0.000055,7.910341,0.000516,-0.558614,0.500000,0.250000
3,3,-5.595391,5.595363,0.382787,-0.383192,0.500000,0.250000
4,4,-7.922384,0.000042,0.483551,0.000398,0.500000,0.250000
5,5,-5.594187,-5.594194,0.390283,0.390539,0.500000,0.250000
6,6,0.000032,-7.909104,0.000374,0.566318,0.500000,0.250000
7,7,5.601867,-5.601773,-0.342510,0.343221,0.500000,0.250000
0,0,7.882991,0.000092,-0.614932,0.000742,0.500000,0.300000
1,1,5.583773,5.583705,-0.383822,-0.384485,0.500000,0.300000
2,2,0.000095,7.878386,0.000796,-0.639090,0.500000,0.300000
3,3,-5.573502,5.573437,0.437776,-0.438518,0.500000,0.300000
4,4,-7.894725,0.000073,0.553165,0.000613,0.500000,0.300000
5,5,-5.571870,-5.571848,0.446347,0.446930,0.500000,0.300000
6,6,0.000064,-7.876709,0.000641,0.647900,0.500000,0.300000
7,7,5.582282,-5.582136,-0.391701,0.392736,0.500000,0.300000
0,0,7.848759,0.000145,-0.684631,0.001060,0.500000,0.350000
1,1,5.562417,5.562299,-0.427113,-0.428114,0.500000,0.350000
2,2,0.000153,7.842812,0.001146,-0.711487,0.500000,0.350000
3,3,-5.549144,5.549020,0.487170,-0.488344,0.500000,0.350000
4,4,-7.863937,0.000117,0.615758,0.000878,0.500000,0.350000
5,5,-5.547035,-5.546962,0.496704,0.497716,0.500000,0.350000
6,6,0.000113,-7.840644,0.000981,0.721290,0.500000,0.350000
7,7,5.560488,-5.560271,-0.435877,0.437304,0.500000,0.350000
0,0,7.811392,0.000217,-0.747347,0.001438,0.500000,0.400000
1,1,5.539118,5.538930,-0.465978,-0.467380,0.500000,0.400000
2,2,0.000230,7.803981,0.001559,-0.776611,0.500000,0.400000
3,3,-5.522568,5.522359,0.531525,-0.533219,0.500000,0.400000
4,4,-7.830336,0.000176,0.672030,0.001188,0.500000,0.400000
5,5,-5.519938,-5.519789,0.541925,0.543457,0.500000,0.400000
6,6,0.000183,-7.801279,0.001387,0.787307,0.500000,0.400000
7,7,5.536711,-5.536400,-0.475537,0.477416,0.500000,0.400000
0,0,7.771203,0.000310,-0.803781,0.001870,0.500000,0.450000
1,1,5.514075,5.513795,-0.500860,-0.502715,0.500000,0.450000
2,2,0.000332,7.762222,0.002029,-0.835193,0.500000,0.450000
3,3,-5.494000,5.493677,0.571347,-0.573638,0.500000,0.450000
4,4,-7.794205,0.000253,0.722610,0.001538,0.500000,0.450000
5,5,-5.490812,-5.490556,0.582524,0.584657,0.500000,0.450000
6,6,0.000275,-7.758944,0.001853,0.846688,0.500000,0.450000
7,7,5.511154,-5.510724,-0.511132,0.513514,0.500000,0.450000
0,0,7.728475,0.000428,-0.854563,0.002349,0.500000,0.500000
1,1,5.487467,5.487069,-0.532158,-0.534511,0.500000,0.500000
2,2,0.000459,7.717827,0.002546,-0.887886,0.500000,0.500000
3,3,-5.463646,5.463175,0.607092,-0.610044,0.500000,0.500000
4,4,-7.755801,0.000297,0.768092,0.000890,0.500000,0.500000
5,5,-5.459864,-5.459468,0.618965,0.621769,0.500000,0.500000
6,6,0.000394,-7.713939,0.002370,0.900099,0.500000,0.500000
7,7,5.484001,-5.483424,-0.543068,0.545999,0.500000,0.500000
0,0,7.683462,0.000571,-0.900259,0.002869,0.500000,0.550000
1,1,5.459455,5.458913,-0.560232,-0.563119,0.500000,0.550000
2,2,0.000614,7.671063,0.003105,-0.935281,0.500000,0.550000
3,3,-5.431687,5.431033,0.639168,-0.642837,0.500000,0.550000
4,4,-7.715354,0.000368,0.808933,0.001406,0.500000,0.550000
5,5,-5.427281,-5.426708,0.651667,0.655200,0.500000,0.550000
6,6,0.000540,-7.666533,0.002930,0.948138,0.500000,0.550000
7,7,5.455415,-5.454663,-0.571714,0.575228,0.500000,0.550000
0,0,7.636393,0.000743,-0.941381,0.003425,0.500000,0.600000
1,1,5.430139,5.429511,-0.586335,-0.588036,0.500000,0.600000
2,2,0.000799,7.622168,0.003697,-0.977909,0.500000,0.600000
3,3,-5.398290,5.397414,0.667947,-0.672378,0.500000,0.600000
4,4,-7.673071,0.000399,0.845662,0.000634,0.500000,0.600000
5,5,-5.393230,-5.392442,0.681006,0.685317,0.500000,0.600000
6,6,0.000717,-7.616965,0.003525,0.991343,0.500000,0.600000
7,7,5.425545,-5.424587,-0.597400,0.601525,0.500000,0.600000
0,0,7.587473,0.000943,-0.978387,0.004009,0.500000,0.650000
1,1,5.399698,5.398948,-0.608805,-0.611269,0.500000,0.650000
2,2,0.001015,7.571355,0.004317,-1.016248,0.500000,0.650000
3,3,-5.363602,5.362465,0.693761,-0.698990,0.500000,0.650000
4,4,-7.629140,0.000465,0.878615,0.001303,0.500000,0.650000
5,5,-5.357864,-5.356820,0.707322,0.712450,0.500000,0.650000
6,6,0.000924,-7.565455,0.004150,1.030199,0.500000,0.650000
7,7,5.394524,-5.393328,-0.620425,0.625183,0.500000,0.650000
0,0,7.536889,0.001174,-1.011689,0.004617,0.500000,0.700000
1,1,5.368196,5.367388,-0.630052,-0.631198,0.500000,0.700000
2,2,0.001263,7.518819,0.004960,-1.050728,0.500000,0.700000
3,3,-5.327756,5.326316,0.716908,-0.722965,0.500000,0.700000
4,4,-7.583727,0.000485,0.908258,0.000412,0.500000,0.700000
5,5,-5.321318,-5.319975,0.730920,0.736895,0.500000,0.700000
6,6,0.001164,-7.512198,0.004799,1.065142,0.500000,0.700000
7,7,5.362471,-5.361004,-0.641057,0.646464,0.500000,0.700000
0,0,7.484806,0.001436,-1.041661,0.005245,0.500000,0.750000
1,1,5.335797,5.334884,-0.647970,-0.650088,0.500000,0.750000
2,2,0.001544,7.464732,0.005620,-1.081735,0.500000,0.750000
3,3,-5.290873,5.289088,0.737658,-0.744565,0.500000,0.750000
4,4,-7.536986,0.000546,0.934822,0.001224,0.500000,0.750000
5,5,-5.283714,-5.282029,0.752073,0.758922,0.500000,0.750000
6,6,0.001437,-7.457370,0.005466,1.096564,0.500000,0.750000
7,7,5.329494,-5.327724,-0.659536,0.665604,0.500000,0.750000
0,0,7.431374,0.001730,-1.068634,0.005888,0.500000,0.800000
1,1,5.302532,5.301585,-0.665298,-0.665970,0.500000,0.800000
2,2,0.001859,7.409251,0.006294,-1.109619,0.500000,0.800000
3,3,-5.253061,5.250887,0.756253,-0.764027,0.500000,0.800000
4,4,-7.489050,0.000557,0.958729,0.000220,0.500000,0.800000
5,5,-5.245163,-5.243090,0.771029,0.778770,0.500000,0.800000
6,6,0.001745,-7.401129,0.006148,1.124818,0.500000,0.800000
7,7,5.295690,-5.293583,-0.676081,0.682817,0.500000,0.800000
0,0,7.376728,0.002058,-1.092912,0.006543,0.500000,0.850000
1,1,5.268556,5.267517,-0.679518,-0.681352,0.500000,0.850000
2,2,0.002208,7.352517,0.006978,-1.134691,0.500000,0.850000
3,3,-5.214415,5.211809,0.772909,-0.781564,0.500000,0.850000
4,4,-7.440044,0.000616,0.980119,0.001164,0.500000,0.850000
5,5,-5.205762,-5.203258,0.788009,0.796656,0.500000,0.850000
6,6,0.002087,-7.343618,0.006842,1.150222,0.500000,0.850000
7,7,5.261146,-5.258669,-0.690886,0.698295,0.500000,0.850000
0,0,7.320990,0.002418,-1.114763,0.007208,0.500000,0.900000
1,1,5.233872,5.232820,-0.693686,-0.693947,0.500000,0.900000
2,2,0.002591,7.294655,0.007669,-1.157234,0.500000,0.900000
3,3,-5.175024,5.171940,0.787823,-0.797367,0.500000,0.900000
4,4,-7.390075,0.000618,0.999383,0.000050,0.500000,0.900000
5,5,-5.165602,-5.162619,0.803212,0.812776,0.500000,0.900000
6,6,0.002464,-7.284965,0.007544,1.173061,0.500000,0.900000
7,7,5.225940,-5.223058,-0.704126,0.712210,0.500000,0.900000
0,0,7.264269,0.002812,-1.134432,0.007881,0.500000,0.950000
1,1,5.198550,5.197560,-0.706434,-0.705206,0.500000,0.950000
2,2,0.003010,7.235780,0.008366,-1.177502,0.500000,0.950000
3,3,-5.134966,5.131360,0.801169,-0.811609,0.500000,0.950000
4,4,-7.339246,0.000674,1.016582,0.001119,0.500000,0.950000
5,5,-5.124761,-5.121253,0.816817,0.827306,0.500000,0.950000
6,6,0.002877,-7.225286,0.008252,1.193592,0.500000,0.950000
7,7,5.190142,-5.186822,-0.715960,0.724718,0.500000,0.950000
0,0,7.206662,0.003240,-1.152138,0.008558,0.500000,1.000000
1,1,5.162736,5.161729,-0.716285,-0.716613,0.500000,1.000000
2,2,0.003463,7.175994,0.009067,-1.195721,0.500000,1.000000
3,3,-5.094310,5.090137,0.813106,-0.824446,0.500000,1.000000
4,4,-7.287641,0.000669,1.032089,-0.000102,0.500000,1.000000
5,5,-5.083312,-5.079233,0.828985,0.840403,0.500000,1.000000
6,6,0.003325,-7.164683,0.008965,1.212046,0.500000,1.000000
7,7,5.153815,-5.150024,-0.726528,0.735959,0.500000,1.000000
0,0,7.148258,0.003702,-1.168077,0.009240,0.500000,1.050000
1,1,5.126398,5.125457,-0.726763,-0.725450,0.500000,1.050000
2,2,0.003951,7.115389,0.009771,-1.212098,0.500000,1.050000
3,3,-5.053122,5.048337,0.823776,-0.836018,0.500000,1.050000
4,4,-7.235347,0.000723,1.045893,0.001088,0.500000,1.050000
5,5,-5.041319,-5.036623,0.839859,0.852212,0.500000,1.050000
6,6,0.003809,-7.103252,0.009681,1.228632,0.500000,1.050000
7,7,5.117017,-5.112721,-0.735957,0.746059,0.500000,1.050000
0,0,7.089137,0.004198,-1.182427,0.009925,0.500000,1.100000
1,1,5.089677,5.088717,-0.734414,-0.734796,0.500000,1.100000
2,2,0.004475,7.054048,0.010476,-1.226816,0.500000,1.100000
3,3,-5.011456,5.006014,0.833304,-0.846450,0.500000,1.100000
4,4,-7.182429,0.000711,1.058357,-0.000240,0.500000,1.100000
5,5,-4.998840,-4.993480,0.849571,0.862860,0.500000,1.100000
6,6,0.004329,-7.041075,0.010399,1.243536,0.500000,1.100000
7,7,5.079799,-5.074965,-0.744363,0.755132,0.500000,1.100000
0,0,7.029369,0.004729,-1.195348,0.010613,0.500000,1.150000
1,1,5.052524,5.051634,-0.743068,-0.741660,0.500000,1.150000
2,2,0.005034,6.992046,0.011182,-1.240042,0.500000,1.150000
3,3,-4.969366,4.963221,0.841807,-0.855856,0.500000,1.150000
4,4,-7.128958,0.000765,1.069409,0.001068,0.500000,1.150000
5,5,-4.955929,-4.949857,0.858236,0.872462,0.500000,1.150000
6,6,0.004885,-6.978229,0.011120,1.256927,0.500000,1.150000
7,7,5.042207,-5.036801,-0.751847,0.763279,0.500000,1.150000
0,0,6.969020,0.005294,-1.206984,0.011303,0.500000,1.200000
1,1,5.015078,5.014167,-0.748922,-0.749345,0.500000,1.200000
2,2,0.005629,6.929450,0.011890,-1.251925,0.500000,1.200000
3,3,-4.926897,4.920004,0.849385,-0.864339,0.500000,1.200000
4,4,-7.074988,0.000746,1.079409,-0.000367,0.500000,1.200000
5,5,-4.912631,-4.905800,0.865959,0.881124,0.500000,1.200000
6,6,0.005477,-6.914781,0.011842,1.268956,0.500000,1.200000
7,7,5.004282,-4.998271,-0.758502,0.770592,0.500000,1.200000
0,0,6.908144,0.005710,-1.217512,0.008325,0.500000,1.250000
1,1,4.977272,4.976437,-0.756111,-0.754598,0.500000,1.250000
2,2,0.006259,6.866320,0.012598,-1.262600,0.500000,1.250000
3,3,-4.884090,4.876405,0.856132,-0.871991,0.500000,1.250000
4,4,-7.020576,0.000799,1.088229,0.001058,0.500000,1.250000
5,5,-4.868989,-4.861353,0.872833,0.888939,0.500000,1.250000
6,6,0.006105,-6.850793,0.012566,1.279759,0.500000,1.250000
7,7,4.966061,-4.959413,-0.764409,0.777154,0.500000,1.250000
0,0,6.846797,0.006180,-1.226939,0.009397,0.500000,1.300000
1,1,4.939248,4.938389,-0.760492,-0.760947,0.500000,1.300000
2,2,0.006924,6.802710,0.013308,-1.272187,0.500000,1.300000
3,3,-4.840984,4.832460,0.862130,-0.878893,0.500000,1.300000
4,4,-6.965765,0.000775,1.096232,-0.000486,0.500000,1.300000
5,5,-4.825042,-4.816554,0.878944,0.895991,0.500000,1.300000
6,6,0.006770,-6.786320,0.013292,1.289458,0.500000,1.300000
7,7,4.927579,-4.920261,-0.769644,0.783040,0.500000,1.300000
0,0,6.785026,0.006702,-1.235432,0.010434,0.500000,1.350000
1,1,4.901030,4.900057,-0.764354,-0.766641,0.500000,1.350000
2,2,0.007625,6.738671,0.014019,-1.280794,0.500000,1.350000
3,3,-4.797611,4.788204,0.867453,-0.885122,0.500000,1.350000
4,4,-6.910603,0.000828,1.103239,0.001056,0.500000,1.350000
5,5,-4.780823,-4.771436,0.884366,0.902358,0.500000,1.350000
6,6,0.007471,-6.721412,0.014021,1.298165,0.500000,1.350000
7,7,4.888866,-4.880846,-0.774272,0.788316,0.500000,1.350000
0,0,6.722872,0.007274,-1.243086,0.011440,0.500000,1.400000
1,1,4.862532,4.861561,-0.769965,-0.769926,0.500000,1.400000
2,2,0.008362,6.674245,0.014733,-1.288521,0.500000,1.400000
3,3,-4.754003,4.743667,0.872168,-0.890745,0.500000,1.400000
4,4,-6.855122,0.000798,1.109622,-0.000600,0.500000,1.400000
5,5,-4.736365,-4.726031,0.889167,0.908106,0.500000,1.400000
6,6,0.008208,-6.656113,0.014752,1.305978,0.500000,1.400000
7,7,4.849948,-4.841194,-0.778353,0.793042,0.500000,1.400000
0,0,6.660372,0.007895,-1.249986,0.012420,0.500000,1.450000
1,1,4.823781,4.822921,-0.775010,-0.772804,0.500000,1.450000
2,2,0.009134,6.609472,0.015450,-1.295454,0.500000,1.450000
3,3,-4.710186,4.698876,0.876334,-0.895821,0.500000,1.450000
4,4,-6.799364,0.000851,1.115154,0.001062,0.500000,1.450000
5,5,-4.691695,-4.680366,0.893409,0.913299,0.500000,1.450000
6,6,0.008983,-6.590464,0.015488,1.312985,0.500000,1.450000
7,7,4.810851,-4.801330,-0.781940,0.797272,0.500000,1.450000
0,0,6.597562,0.008564,-1.256207,0.013377,0.500000,1.500000
1,1,4.784924,4.784059,-0.777147,-0.777237,0.500000,1.500000
2,2,0.009943,6.544388,0.016171,-1.301673,0.500000,1.500000
3,3,-4.666186,4.653855,0.880006,-0.900407,0.500000,1.500000
4,4,-6.743353,0.000815,1.120223,-0.000710,0.500000,1.500000
5,5,-4.646837,-4.634466,0.897145,0.917991,0.500000,1.500000
6,6,0.009794,-6.524500,0.016228,1.319268,0.500000,1.500000
7,7,4.771597,-4.761277,-0.785082,0.801055,0.500000,1.500000
0,0,6.534468,0.009048,-1.261873,0.009675,0.500000,1.550000
1,1,4.745851,4.745098,-0.781453,-0.779212,0.500000,1.550000
2,2,0.010788,6.479026,0.016897,-1.307248,0.500000,1.550000
