id,gid,x,y,v_x,v_y,radius,time
0,0,10.158058,0.356120,-0.160835,0.020311,0.200000,0.050000
1,0,12.539883,0.591299,-0.170341,-0.004566,0.200000,0.050000
2,0,7.329306,-0.132165,0.145319,-0.203676,0.200000,0.050000
3,0,6.783327,-0.865378,-0.424264,-0.500000,0.200000,0.050000
4,0,8.832411,0.706774,-0.052777,0.135247,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.694152,-1.056351,-0.026966,-0.130424,0.200000,0.050000
7,0,10.855044,-0.170943,-0.099122,-0.021962,0.200000,0.050000
8,0,13.301261,-0.530365,-0.232774,0.141526,0.200000,0.050000
9,0,8.013727,-0.227129,-0.316463,-0.130095,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.755030,-0.690810,-0.117392,0.008761,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.529124,0.138337,0.056487,0.131029,0.200000,0.050000
14,0,6.820574,-0.389901,0.164672,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.420660,0.024987,-0.500000,-0.500000,0.200000,0.050000
17,0,6.772094,0.889089,-0.146523,0.123832,0.200000,0.050000
18,0,9.491337,-0.438152,-0.141854,-0.010222,0.200000,0.050000
19,0,7.357290,-0.838890,0.500000,0.010009,0.200000,0.050000
20,1,7.299049,7.707375,-0.020426,-0.119697,0.200000,0.050000
21,1,8.365326,-4.201379,-0.015486,-0.124579,0.200000,0.050000
22,1,7.111337,2.329112,-0.005058,-0.138767,0.200000,0.050000
23,1,9.086686,-3.083275,-0.032871,-0.131706,0.200000,0.050000
24,1,5.311000,5.483044,0.017203,-0.138524,0.200000,0.050000
25,1,8.411502,-2.035218,-0.027361,-0.120760,0.200000,0.050000
26,1,6.821871,6.561405,-0.001987,-0.138096,0.200000,0.050000
27,1,5.173654,1.224916,0.132673,0.033718,0.200000,0.050000
28,1,4.810181,3.016779,0.012623,-0.119816,0.200000,0.050000
29,1,4.787470,0.734054,-0.500000,0.500000,0.200000,0.050000
30,1,7.601992,3.440026,-0.022755,-0.137281,0.200000,0.050000
31,1,7.274779,-4.351540,-0.020628,-0.131810,0.200000,0.050000
32,1,5.645728,2.233800,0.019951,-0.117201,0.200000,0.050000
33,1,7.976666,5.357775,-0.013083,-0.126699,0.200000,0.050000
34,1,4.927768,6.630314,0.012969,-0.119712,0.200000,0.050000
35,1,9.192077,3.777178,0.154943,-0.150031,0.200000,0.050000
36,1,6.196952,4.201694,0.009233,-0.132529,0.200000,0.050000
37,1,8.543232,3.857252,-0.189760,-0.107559,0.200000,0.050000
38,1,9.140259,4.627588,-0.021018,-0.085438,0.200000,0.050000
39,1,6.798815,8.862379,-0.001903,-0.122413,0.200000,0.050000
0,0,10.144869,0.356820,-0.263785,0.014009,0.200000,0.100000
1,0,12.525221,0.591488,-0.293242,0.003794,0.200000,0.100000
2,0,7.311572,-0.138615,-0.354681,-0.128998,0.200000,0.100000
3,0,6.758309,-0.888198,-0.500351,-0.456405,0.200000,0.100000
4,0,8.826857,0.722418,-0.111081,0.312883,0.200000,0.100000
5,0,5.262209,0.490674,0.270976,-0.378583,0.200000,0.100000
6,0,13.685924,-1.062492,-0.164560,-0.122809,0.200000,0.100000
7,0,10.844839,-0.172419,-0.204103,-0.029513,0.200000,0.100000
8,0,13.285458,-0.528266,-0.316057,0.041972,0.200000,0.100000
9,0,8.013313,-0.235515,-0.008281,-0.167733,0.200000,0.100000
10,0,6.903519,0.267229,0.304372,0.453811,0.200000,0.100000
11,0,14.743777,-0.689550,-0.225075,0.025190,0.200000,0.100000
12,0,13.354734,0.552261,-0.603322,-0.364864,0.200000,0.100000
13,0,8.521854,0.134278,-0.145403,-0.081197,0.200000,0.100000
14,0,6.825655,-0.369164,0.101633,0.414741,0.200000,0.100000
15,0,13.653110,1.067976,0.320204,0.442716,0.200000,0.100000
16,0,6.394119,-0.001421,-0.530815,-0.528158,0.200000,0.100000
17,0,6.754851,0.896149,-0.344859,0.141203,0.200000,0.100000
18,0,9.478999,-0.438158,-0.246767,-0.000112,0.200000,0.100000
19,0,7.370800,-0.849125,0.270203,-0.204705,0.200000,0.100000
20,1,7.297096,7.695176,-0.039058,-0.243982,0.200000,0.100000
21,1,8.363815,-4.213204,-0.030205,-0.236511,0.200000,0.100000
22,1,7.110989,2.316686,-0.006960,-0.248517,0.200000,0.100000
23,1,9.083523,-3.095101,-0.063277,-0.236510,0.200000,0.100000
24,1,5.312605,5.469963,0.032100,-0.261619,0.200000,0.100000
25,1,8.409204,-2.047122,-0.045960,-0.238073,0.200000,0.100000
26,1,6.821729,6.548313,-0.002823,-0.261841,0.200000,0.100000
27,1,5.180083,1.218391,0.128577,-0.130489,0.200000,0.100000
28,1,4.811385,3.005374,0.024079,-0.228110,0.200000,0.100000
29,1,4.766282,0.750188,-0.423756,0.322677,0.200000,0.100000
30,1,7.599105,3.426156,-0.057753,-0.277390,0.200000,0.100000
31,1,7.272858,-4.364072,-0.038408,-0.250625,0.200000,0.100000
32,1,5.647926,2.223691,0.043966,-0.202169,0.200000,0.100000
33,1,7.975334,5.345749,-0.026644,-0.240526,0.200000,0.100000
34,1,4.929030,6.618863,0.025227,-0.229028,0.200000,0.100000
35,1,9.198102,3.764079,0.120502,-0.261982,0.200000,0.100000
36,1,6.197597,4.189262,0.012915,-0.248626,0.200000,0.100000
37,1,8.535546,3.847150,-0.153716,-0.202037,0.200000,0.100000
38,1,9.138703,4.617150,-0.031118,-0.208766,0.200000,0.100000
39,1,6.798642,8.850794,-0.003462,-0.231711,0.200000,0.100000
0,0,10.127043,0.358042,-0.356525,0.024446,0.200000,0.150000
1,0,12.496194,0.604991,-0.580534,0.270047,0.200000,0.150000
2,0,7.318838,-0.120065,0.145319,0.371002,0.200000,0.150000
3,0,6.730222,-0.909778,-0.561742,-0.431601,0.200000,0.150000
4,0,8.815903,0.736222,-0.219080,0.276074,0.200000,0.150000
5,0,5.267271,0.473430,0.101240,-0.344872,0.200000,0.150000
6,0,13.671666,-1.068132,-0.285157,-0.112798,0.200000,0.150000
7,0,10.828885,-0.173536,-0.319080,-0.022349,0.200000,0.150000
8,0,13.266365,-0.529512,-0.381874,-0.024909,0.200000,0.150000
9,0,7.998312,-0.252646,-0.300026,-0.342603,0.200000,0.150000
10,0,6.911181,0.286711,0.153253,0.389655,0.200000,0.150000
11,0,14.727515,-0.687708,-0.325226,0.036858,0.200000,0.150000
12,0,13.319461,0.538968,-0.705454,-0.265850,0.200000,0.150000
13,0,8.516941,0.140259,-0.098262,0.119627,0.200000,0.150000
14,0,6.805737,-0.373427,-0.398367,-0.085259,0.200000,0.150000
15,0,13.661030,1.087527,0.158396,0.391014,0.200000,0.150000
16,0,6.362822,-0.023656,-0.625939,-0.444697,0.200000,0.150000
17,0,6.734044,0.902265,-0.416142,0.122331,0.200000,0.150000
18,0,9.462638,-0.438633,-0.327219,-0.009504,0.200000,0.150000
19,0,7.375207,-0.861779,0.088145,-0.253080,0.200000,0.150000
20,1,7.294263,7.677402,-0.056649,-0.355472,0.200000,0.150000
21,1,8.361614,-4.230057,-0.044022,-0.337042,0.200000,0.150000
22,1,7.110153,2.299796,-0.016720,-0.337803,0.200000,0.150000
23,1,9.079035,-3.112376,-0.089754,-0.345499,0.200000,0.150000
24,1,5.314859,5.451399,0.045083,-0.371267,0.200000,0.150000
25,1,8.405764,-2.063826,-0.068796,-0.334089,0.200000,0.150000
26,1,6.821566,6.529622,-0.003270,-0.373829,0.200000,0.150000
27,1,5.185717,1.205847,0.112682,-0.250893,0.200000,0.150000
28,1,4.813414,2.988865,0.040572,-0.330178,0.200000,0.150000
29,1,4.748536,0.758344,-0.354933,0.163128,0.200000,0.150000
30,1,7.595205,3.406269,-0.077990,-0.397749,0.200000,0.150000
31,1,7.270166,-4.381960,-0.053838,-0.357762,0.200000,0.150000
32,1,5.650169,2.208951,0.044863,-0.294805,0.200000,0.150000
33,1,7.973414,5.328597,-0.038388,-0.343043,0.200000,0.150000
34,1,4.930864,6.602435,0.036683,-0.328552,0.200000,0.150000
35,1,9.203004,3.745160,0.098041,-0.378378,0.200000,0.150000
36,1,6.198369,4.171737,0.015423,-0.350510,0.200000,0.150000
37,1,8.528923,3.832510,-0.132455,-0.292814,0.200000,0.150000
38,1,9.136670,4.601165,-0.040664,-0.319688,0.200000,0.150000
39,1,6.798440,8.834272,-0.004043,-0.330444,0.200000,0.150000
0,0,10.105145,0.358965,-0.437948,0.018457,0.200000,0.200000
1,0,12.463657,0.616840,-0.650748,0.236981,0.200000,0.200000
2,0,7.329663,-0.114724,0.216504,0.106822,0.200000,0.200000
3,0,6.699097,-0.929645,-0.622502,-0.397343,0.200000,0.200000
4,0,8.800044,0.748797,-0.317182,0.251487,0.200000,0.200000
5,0,5.263885,0.462394,-0.067718,-0.220732,0.200000,0.200000
6,0,13.652068,-1.073211,-0.391957,-0.101593,0.200000,0.200000
7,0,10.808879,-0.175180,-0.400119,-0.032885,0.200000,0.200000
8,0,13.246662,-0.533355,-0.394058,-0.076865,0.200000,0.200000
9,0,7.981152,-0.262211,-0.343184,-0.191302,0.200000,0.200000
10,0,6.900794,0.315507,-0.207745,0.575908,0.200000,0.200000
11,0,14.706660,-0.685448,-0.417097,0.045200,0.200000,0.200000
12,0,13.277240,0.529725,-0.844427,-0.184874,0.200000,0.200000
13,0,8.507748,0.145091,-0.183864,0.096648,0.200000,0.200000
14,0,6.782139,-0.377547,-0.471963,-0.082402,0.200000,0.200000
15,0,13.661669,1.104744,0.012777,0.344349,0.200000,0.200000
16,0,6.329604,-0.048436,-0.664373,-0.495597,0.200000,0.200000
17,0,6.709386,0.906251,-0.493152,0.079711,0.200000,0.200000
18,0,9.441828,-0.440404,-0.416209,-0.035413,0.200000,0.200000
19,0,7.369849,-0.878442,-0.107171,-0.333255,0.200000,0.200000
20,1,7.290610,7.655450,-0.073062,-0.439054,0.200000,0.200000
21,1,8.358770,-4.251421,-0.056883,-0.427298,0.200000,0.200000
22,1,7.109232,2.278934,-0.018423,-0.417233,0.200000,0.200000
23,1,9.073308,-3.133758,-0.114534,-0.427653,0.200000,0.200000
24,1,5.317468,5.428430,0.052179,-0.459397,0.200000,0.200000
25,1,8.401329,-2.084875,-0.088700,-0.420984,0.200000,0.200000
26,1,6.821402,6.505866,-0.003278,-0.475109,0.200000,0.200000
27,1,5.190366,1.187428,0.092989,-0.368385,0.200000,0.200000
28,1,4.816148,2.967819,0.054682,-0.420925,0.200000,0.200000
29,1,4.733786,0.759330,-0.294995,0.019712,0.200000,0.200000
30,1,7.591420,3.382142,-0.075695,-0.482547,0.200000,0.200000
31,1,7.266802,-4.404680,-0.067293,-0.454400,0.200000,0.200000
32,1,5.652352,2.190245,0.043669,-0.374117,0.200000,0.200000
33,1,7.971243,5.306965,-0.043433,-0.432626,0.200000,0.200000
34,1,4.933229,6.581488,0.047300,-0.418947,0.200000,0.200000
35,1,9.206305,3.721794,0.066008,-0.467334,0.200000,0.200000
36,1,6.199257,4.149657,0.017763,-0.441604,0.200000,0.200000
37,1,8.522904,3.813561,-0.120381,-0.378974,0.200000,0.200000
38,1,9.134561,4.580807,-0.042174,-0.407171,0.200000,0.200000
39,1,6.798248,8.813288,-0.003834,-0.419663,0.200000,0.200000
0,0,10.079587,0.359647,-0.511164,0.013630,0.200000,0.250000
1,0,12.427975,0.627190,-0.713637,0.207003,0.200000,0.250000
2,0,7.315488,-0.094587,-0.283496,0.402721,0.200000,0.250000
3,0,6.665716,-0.948658,-0.667615,-0.380248,0.200000,0.250000
4,0,8.779486,0.759507,-0.411167,0.214199,0.200000,0.250000
5,0,5.253192,0.443660,-0.213864,-0.374682,0.200000,0.250000
6,0,13.631186,-1.081999,-0.417635,-0.175765,0.200000,0.250000
7,0,10.784115,-0.176642,-0.495280,-0.029225,0.200000,0.250000
8,0,13.219186,-0.532034,-0.549508,0.026419,0.200000,0.250000
9,0,7.980996,-0.285957,-0.003132,-0.474919,0.200000,0.250000
10,0,6.906994,0.319302,0.124004,0.075908,0.200000,0.250000
11,0,14.681652,-0.683097,-0.500170,0.047007,0.200000,0.250000
12,0,13.233002,0.521270,-0.884749,-0.169084,0.200000,0.250000
13,0,8.495048,0.150182,-0.253998,0.101815,0.200000,0.250000
14,0,6.754995,-0.381546,-0.542877,-0.079979,0.200000,0.250000
15,0,13.655755,1.119856,-0.118273,0.302232,0.200000,0.250000
16,0,6.292096,-0.069063,-0.750163,-0.412544,0.200000,0.250000
17,0,6.659729,0.935083,-0.993152,0.576635,0.200000,0.250000
18,0,9.417066,-0.442338,-0.495238,-0.038696,0.200000,0.250000
19,0,7.358557,-0.893017,-0.225834,-0.291519,0.200000,0.250000
20,1,7.286199,7.628872,-0.088217,-0.531548,0.200000,0.250000
21,1,8.355331,-4.276836,-0.068789,-0.508294,0.200000,0.250000
22,1,7.109338,2.254666,0.002125,-0.485350,0.200000,0.250000
23,1,9.066445,-3.158830,-0.137266,-0.501441,0.200000,0.250000
24,1,5.320480,5.401371,0.060242,-0.541180,0.200000,0.250000
25,1,8.395989,-2.109810,-0.106809,-0.498698,0.200000,0.250000
26,1,6.821282,6.477600,-0.002406,-0.565325,0.200000,0.250000
27,1,5.196741,1.172942,0.127499,-0.289707,0.200000,0.250000
28,1,4.819506,2.942757,0.067170,-0.501226,0.200000,0.250000
29,1,4.721612,0.753775,-0.243477,-0.111092,0.200000,0.250000
30,1,7.587522,3.354188,-0.077971,-0.559070,0.200000,0.250000
31,1,7.262848,-4.431760,-0.079064,-0.541601,0.200000,0.250000
32,1,5.654467,2.168210,0.042282,-0.440699,0.200000,0.250000
33,1,7.968827,5.281300,-0.048308,-0.513313,0.200000,0.250000
34,1,4.936141,6.556223,0.058238,-0.505304,0.200000,0.250000
35,1,9.208145,3.694431,0.036815,-0.547260,0.200000,0.250000
36,1,6.200410,4.123497,0.023058,-0.523188,0.200000,0.250000
37,1,8.516857,3.790267,-0.120941,-0.465883,0.200000,0.250000
38,1,9.132438,4.556589,-0.042459,-0.484350,0.200000,0.250000
39,1,6.798077,8.788334,-0.003414,-0.499089,0.200000,0.250000
0,0,10.050761,0.360091,-0.576523,0.008887,0.200000,0.300000
1,0,12.389478,0.636181,-0.769932,0.179827,0.200000,0.300000
2,0,7.326313,-0.099451,0.216504,-0.097279,0.200000,0.300000
3,0,6.629964,-0.966212,-0.715047,-0.351076,0.200000,0.300000
4,0,8.755286,0.768744,-0.483984,0.184748,0.200000,0.300000
5,0,5.235376,0.429287,-0.356324,-0.287443,0.200000,0.300000
6,0,13.605910,-1.089546,-0.505534,-0.150921,0.200000,0.300000
7,0,10.756314,-0.178757,-0.556021,-0.042299,0.200000,0.300000
8,0,13.187987,-0.530689,-0.623983,0.026888,0.200000,0.300000
9,0,7.974369,-0.307129,-0.132540,-0.423456,0.200000,0.300000
10,0,6.888194,0.348097,-0.375996,0.575908,0.200000,0.300000
11,0,14.652670,-0.680760,-0.579638,0.046749,0.200000,0.300000
12,0,13.186923,0.513520,-0.921588,-0.155004,0.200000,0.300000
13,0,8.478008,0.154564,-0.340793,0.087635,0.200000,0.300000
14,0,6.724871,-0.385132,-0.602485,-0.071724,0.200000,0.300000
15,0,13.643945,1.133067,-0.236213,0.264219,0.200000,0.300000
16,0,6.253537,-0.090357,-0.771176,-0.425885,0.200000,0.300000
17,0,6.609923,0.957812,-0.996116,0.454577,0.200000,0.300000
18,0,9.388487,-0.445755,-0.571565,-0.068342,0.200000,0.300000
19,0,7.341904,-0.905707,-0.333065,-0.253794,0.200000,0.300000
20,1,7.281063,7.598975,-0.102737,-0.597938,0.200000,0.300000
21,1,8.351342,-4.305883,-0.079774,-0.580946,0.200000,0.300000
22,1,7.109691,2.227006,0.007051,-0.553216,0.200000,0.300000
23,1,9.058613,-3.188050,-0.156646,-0.584391,0.200000,0.300000
24,1,5.323876,5.370612,0.067911,-0.615181,0.200000,0.300000
25,1,8.389826,-2.138220,-0.123261,-0.568192,0.200000,0.300000
26,1,6.821220,6.445248,-0.001236,-0.647038,0.200000,0.300000
27,1,5.202834,1.151863,0.121854,-0.421582,0.200000,0.300000
28,1,4.823151,2.914415,0.072902,-0.566848,0.200000,0.300000
29,1,4.711878,0.742583,-0.194677,-0.223847,0.200000,0.300000
30,1,7.583555,3.322863,-0.079333,-0.626498,0.200000,0.300000
31,1,7.258379,-4.462776,-0.089381,-0.620315,0.200000,0.300000
32,1,5.655718,2.144618,0.025038,-0.471839,0.200000,0.300000
33,1,7.966194,5.251991,-0.052667,-0.586177,0.200000,0.300000
34,1,4.939472,6.527351,0.066617,-0.577428,0.200000,0.300000
35,1,9.208655,3.663477,0.010182,-0.619076,0.200000,0.300000
36,1,6.201805,4.093601,0.027911,-0.597930,0.200000,0.300000
37,1,8.510917,3.763087,-0.118811,-0.543584,0.200000,0.300000
38,1,9.130238,4.528863,-0.044013,-0.554521,0.200000,0.300000
39,1,6.797962,8.759774,-0.002297,-0.571192,0.200000,0.300000
0,0,10.018963,0.360331,-0.635952,0.004801,0.200000,0.350000
1,0,12.348464,0.643941,-0.820287,0.155193,0.200000,0.350000
2,0,7.327279,-0.106345,0.019317,-0.137870,0.200000,0.350000
3,0,6.592327,-0.982880,-0.752744,-0.333364,0.200000,0.350000
4,0,8.727880,0.776560,-0.548139,0.156315,0.200000,0.350000
5,0,5.226278,0.404261,-0.181949,-0.500523,0.200000,0.350000
6,0,13.576682,-1.095976,-0.584546,-0.128609,0.200000,0.350000
7,0,10.724994,-0.180568,-0.626394,-0.036231,0.200000,0.350000
8,0,13.153444,-0.529329,-0.690858,0.027200,0.200000,0.350000
9,0,7.960284,-0.327609,-0.281697,-0.409587,0.200000,0.350000
10,0,6.865850,0.373393,-0.446895,0.505906,0.200000,0.350000
11,0,14.620119,-0.678433,-0.651017,0.046543,0.200000,0.350000
12,0,13.139169,0.506417,-0.955081,-0.142072,0.200000,0.350000
13,0,8.458450,0.161001,-0.391164,0.128749,0.200000,0.350000
14,0,6.691289,-0.389057,-0.671634,-0.078500,0.200000,0.350000
15,0,13.626827,1.144562,-0.342352,0.229911,0.200000,0.350000
16,0,6.212944,-0.113124,-0.811852,-0.455340,0.200000,0.350000
17,0,6.559854,0.974678,-1.001375,0.337323,0.200000,0.350000
18,0,9.357020,-0.448952,-0.629355,-0.063930,0.200000,0.350000
19,0,7.320445,-0.916832,-0.429173,-0.222499,0.200000,0.350000
20,1,7.275262,7.565240,-0.116004,-0.674706,0.200000,0.350000
21,1,8.346848,-4.338187,-0.089889,-0.646080,0.200000,0.350000
22,1,7.109088,2.195746,-0.012064,-0.625185,0.200000,0.350000
23,1,9.049848,-3.220125,-0.175296,-0.641490,0.200000,0.350000
24,1,5.327627,5.336582,0.075020,-0.680585,0.200000,0.350000
25,1,8.382956,-2.169786,-0.137385,-0.631320,0.200000,0.350000
26,1,6.821051,6.409817,-0.003380,-0.708622,0.200000,0.350000
27,1,5.209325,1.127385,0.129819,-0.489552,0.200000,0.350000
28,1,4.827095,2.883201,0.078865,-0.624283,0.200000,0.350000
29,1,4.691040,0.737971,-0.416755,-0.092234,0.200000,0.350000
30,1,7.579556,3.288570,-0.079981,-0.685874,0.200000,0.350000
31,1,7.253458,-4.497346,-0.098429,-0.691401,0.200000,0.350000
32,1,5.656326,2.119981,0.012147,-0.492759,0.200000,0.350000
33,1,7.963597,5.218941,-0.051938,-0.661004,0.200000,0.350000
34,1,4.943271,6.494978,0.075982,-0.647464,0.200000,0.350000
35,1,9.207947,3.629297,-0.014146,-0.683605,0.200000,0.350000
36,1,6.203532,4.060481,0.034543,-0.662392,0.200000,0.350000
37,1,8.505549,3.732787,-0.107352,-0.606004,0.200000,0.350000
38,1,9.127067,4.498459,-0.063419,-0.608084,0.200000,0.350000
39,1,6.797915,8.728009,-0.000953,-0.635301,0.200000,0.350000
0,0,9.984538,0.360296,-0.688504,-0.000703,0.200000,0.400000
1,0,12.305199,0.650584,-0.865291,0.132866,0.200000,0.400000
2,0,7.311354,-0.098028,-0.318514,0.166330,0.200000,0.400000
3,0,6.553330,-0.999035,-0.779940,-0.323101,0.200000,0.400000
4,0,8.697576,0.791170,-0.606075,0.292205,0.200000,0.400000
5,0,5.209057,0.384769,-0.344426,-0.389855,0.200000,0.400000
6,0,13.543715,-1.101781,-0.659338,-0.116102,0.200000,0.400000
7,0,10.691319,-0.183036,-0.673501,-0.049360,0.200000,0.400000
8,0,13.118005,-0.529738,-0.708783,-0.008181,0.200000,0.400000
9,0,7.951405,-0.360341,-0.177582,-0.654635,0.200000,0.400000
10,0,6.840191,0.395356,-0.513181,0.439262,0.200000,0.400000
11,0,14.584364,-0.676112,-0.715100,0.046412,0.200000,0.400000
12,0,13.087546,0.501664,-1.032455,-0.095043,0.200000,0.400000
13,0,8.433496,0.158774,-0.499082,-0.044545,0.200000,0.400000
14,0,6.655824,-0.392614,-0.709304,-0.071127,0.200000,0.400000
15,0,13.604933,1.154509,-0.437872,0.198947,0.200000,0.400000
16,0,6.172450,-0.136836,-0.809887,-0.474246,0.200000,0.400000
17,0,6.509304,0.985824,-1.011000,0.222930,0.200000,0.400000
18,0,9.322882,-0.451802,-0.682759,-0.057001,0.200000,0.400000
19,0,7.294682,-0.926624,-0.515261,-0.195843,0.200000,0.400000
20,1,7.268831,7.528921,-0.128622,-0.726382,0.200000,0.400000
