id,gid,x,y,v_x,v_y,radius,time
0,0,7.993437,0.000002,-0.131269,0.000042,0.500000,0.050000
1,1,5.652748,5.652748,-0.082035,-0.082036,0.500000,0.050000
2,2,0.000002,7.993178,0.000038,-0.136443,0.500000,0.050000
3,3,-5.652172,5.652173,0.093563,-0.093541,0.500000,0.050000
4,4,-7.994094,0.000001,0.118123,0.000028,0.500000,0.050000
5,5,-5.652080,-5.652093,0.095396,0.095333,0.500000,0.050000
6,6,0.000000,-7.993084,0.000000,0.138326,0.500000,0.050000
7,7,5.652674,-5.652660,-0.083721,0.083796,0.500000,0.050000
0,0,7.980966,0.000006,-0.249411,0.000081,0.500000,0.100000
1,1,5.644955,5.644955,-0.155867,-0.155869,0.500000,0.100000
2,2,0.000005,7.980216,0.000072,-0.259242,0.500000,0.100000
3,3,-5.643283,5.643287,0.177769,-0.177727,0.500000,0.100000
4,4,-7.982872,0.000003,0.224434,0.000053,0.500000,0.100000
5,5,-5.643018,-5.643037,0.181253,0.181133,0.500000,0.100000
6,6,0.000000,-7.979943,0.000000,0.262819,0.500000,0.100000
7,7,5.644720,-5.644700,-0.159070,0.159211,0.500000,0.100000
0,0,7.963179,0.000012,-0.355739,0.000115,0.500000,0.150000
1,1,5.633839,5.633839,-0.222315,-0.222318,0.500000,0.150000
2,2,0.000010,7.961728,0.000103,-0.369760,0.500000,0.150000
3,3,-5.630606,5.630612,0.253554,-0.253495,0.500000,0.150000
4,4,-7.966867,0.000007,0.320113,0.000076,0.500000,0.150000
5,5,-5.630091,-5.630119,0.258523,0.258353,0.500000,0.150000
6,6,0.000000,-7.961200,0.000001,0.374863,0.500000,0.150000
7,7,5.633376,-5.633345,-0.226884,0.227086,0.500000,0.150000
0,0,7.940607,0.000020,-0.451437,0.000153,0.500000,0.200000
1,1,5.619733,5.619733,-0.282115,-0.282116,0.500000,0.200000
2,2,0.000017,7.938266,0.000141,-0.469225,0.500000,0.200000
3,3,-5.614518,5.614527,0.321751,-0.321688,0.500000,0.200000
4,4,-7.946556,0.000012,0.406218,0.000094,0.500000,0.200000
5,5,-5.613689,-5.613726,0.328055,0.327853,0.500000,0.200000
6,6,0.000001,-7.937415,0.000013,0.475700,0.500000,0.200000
7,7,5.618981,-5.618937,-0.287914,0.288166,0.500000,0.200000
0,0,7.913729,0.000030,-0.537572,0.000210,0.500000,0.250000
1,1,5.602938,5.602937,-0.335918,-0.335911,0.500000,0.250000
2,2,0.000028,7.910330,0.000206,-0.558737,0.500000,0.250000
3,3,-5.595363,5.595374,0.383097,-0.383069,0.500000,0.250000
4,4,-7.922371,0.000017,0.483686,0.000101,0.500000,0.250000
5,5,-5.594159,-5.594206,0.390601,0.390412,0.500000,0.250000
6,6,0.000004,-7.909092,0.000056,0.566445,0.500000,0.250000
7,7,5.601839,-5.601781,-0.342833,0.343115,0.500000,0.250000
0,0,7.882973,0.000045,-0.615111,0.000307,0.500000,0.300000
1,1,5.583722,5.583724,-0.384310,-0.384277,0.500000,0.300000
2,2,0.000043,7.878365,0.000318,-0.639287,0.500000,0.300000
3,3,-5.573451,5.573458,0.438255,-0.438321,0.500000,0.300000
4,4,-7.894703,0.000021,0.553358,0.000090,0.500000,0.300000
5,5,-5.571817,-5.571869,0.446837,0.446727,0.500000,0.300000
6,6,0.000011,-7.876687,0.000151,0.648103,0.500000,0.300000
7,7,5.582227,-5.582155,-0.392244,0.392524,0.500000,0.300000
0,0,7.848727,0.000068,-0.684918,0.000457,0.500000,0.350000
1,1,5.562331,5.562337,-0.427815,-0.427736,0.500000,0.350000
2,2,0.000068,7.842777,0.000488,-0.711769,0.500000,0.350000
3,3,-5.549059,5.549055,0.487828,-0.488063,0.500000,0.350000
4,4,-7.863904,0.000024,0.615992,0.000056,0.500000,0.350000
5,5,-5.546948,-5.546998,0.497376,0.497429,0.500000,0.350000
6,6,0.000027,-7.840608,0.000310,0.721577,0.500000,0.350000
7,7,5.560392,-5.560309,-0.436691,0.436928,0.500000,0.350000
0,0,7.811338,0.000102,-0.747774,0.000672,0.500000,0.400000
1,1,5.538986,5.538999,-0.466910,-0.466760,0.500000,0.400000
2,2,0.000104,7.803928,0.000723,-0.776985,0.500000,0.400000
3,3,-5.522441,5.522412,0.532361,-0.532846,0.500000,0.400000
4,4,-7.830290,0.000024,0.672275,-0.000006,0.500000,0.400000
