id,gid,x,y,v_x,v_y,radius,time
0,0,10.157812,0.356310,-0.165754,0.024118,0.200000,0.050000
1,0,12.538940,0.591828,-0.189209,0.006019,0.200000,0.050000
2,0,7.328420,-0.130203,0.127607,-0.164435,0.200000,0.050000
3,0,6.797939,-0.865378,-0.132024,-0.500000,0.200000,0.050000
4,0,8.829855,0.702620,-0.103908,0.052153,0.200000,0.050000
5,0,5.248660,0.511321,0.500000,-0.465647,0.200000,0.050000
6,0,13.696523,-1.059317,0.020453,-0.189731,0.200000,0.050000
7,0,10.855804,-0.172096,-0.083928,-0.045027,0.200000,0.050000
8,0,13.304038,-0.533893,-0.177232,0.070961,0.200000,0.050000
9,0,8.032474,-0.221684,0.058489,-0.021205,0.200000,0.050000
10,0,6.888300,0.238196,0.500000,0.373153,0.200000,0.050000
11,0,14.754711,-0.691003,-0.123772,0.004893,0.200000,0.050000
12,0,13.390469,0.570504,-0.388610,-0.500000,0.200000,0.050000
13,0,8.528754,0.137805,0.049074,0.120373,0.200000,0.050000
14,0,6.808242,-0.389901,-0.081963,0.500000,0.200000,0.050000
15,0,13.614083,1.036394,0.039666,0.311071,0.200000,0.050000
16,0,6.420660,0.036108,-0.500000,-0.277581,0.200000,0.050000
17,0,6.772068,0.886401,-0.147035,0.070081,0.200000,0.050000
18,0,9.491377,-0.438138,-0.141068,-0.009948,0.200000,0.050000
19,0,7.350288,-0.838668,0.359967,0.014433,0.200000,0.050000
20,1,7.299429,7.707982,-0.012813,-0.107559,0.200000,0.050000
21,1,8.364500,-4.201931,-0.032009,-0.135624,0.200000,0.050000
22,1,7.111749,2.330226,0.003179,-0.116489,0.200000,0.050000
23,1,9.087106,-3.084393,-0.024475,-0.154068,0.200000,0.050000
24,1,5.310568,5.483784,0.008554,-0.123723,0.200000,0.050000
25,1,8.411497,-2.035333,-0.027462,-0.123062,0.200000,0.050000
26,1,6.822040,6.561810,0.001397,-0.129992,0.200000,0.050000
27,1,5.174675,1.225720,0.153109,0.049806,0.200000,0.050000
28,1,4.809973,3.017166,0.008460,-0.112083,0.200000,0.050000
29,1,4.787470,0.728189,-0.500000,0.382703,0.200000,0.050000
30,1,7.603401,3.440136,0.005420,-0.135081,0.200000,0.050000
31,1,7.274359,-4.351612,-0.029018,-0.133232,0.200000,0.050000
32,1,5.646332,2.235596,0.032034,-0.081288,0.200000,0.050000
33,1,7.975845,5.358313,-0.029492,-0.115950,0.200000,0.050000
34,1,4.927341,6.630916,0.004423,-0.107684,0.200000,0.050000
35,1,9.188021,3.778430,0.073812,-0.125007,0.200000,0.050000
36,1,6.196933,4.201899,0.008861,-0.128422,0.200000,0.050000
37,1,8.546748,3.856103,-0.119436,-0.130533,0.200000,0.050000
38,1,9.140973,4.626888,-0.006741,-0.099441,0.200000,0.050000
39,1,6.798745,8.862802,-0.003298,-0.113963,0.200000,0.050000
0,0,10.145744,0.357208,-0.241359,0.017970,0.200000,0.100000
1,0,12.523895,0.591929,-0.300895,0.002025,0.200000,0.100000
2,0,7.319355,-0.137443,-0.181317,-0.144802,0.200000,0.100000
3,0,6.785515,-0.887403,-0.248474,-0.440490,0.200000,0.100000
4,0,8.821119,0.713817,-0.174702,0.223950,0.200000,0.100000
5,0,5.255050,0.499394,0.127792,-0.238538,0.200000,0.100000
6,0,13.690087,-1.068406,-0.128720,-0.181781,0.200000,0.100000
